negLL,learning_rate,attention_weight,initial_alpha,initial_phi,subject,bic_scores,instructed_avg_correct,num_learned_blocks
5.597756717,0.224156438,0.944958701,0.58502486,0.939797544,MS009,16.97625695,0.683333333,6
14.89845236,0.131012873,0.648008555,0.268161166,0.551127078,MS011,35.57764824,0.56,3
5.768374298,0.911546999,0.720274671,0.905424058,0.727290934,MS012,17.31749211,0.83,4
11.24320541,0.439041783,0.999735059,0.39441811,0.596067665,MS014,28.26715434,0.64,3
17.65260629,0.038544161,0.822909784,0.119381473,0.680533163,MS015,41.0859561,0.61,1
5.5265507,0.453380654,0.929077817,0.156866434,0.663744568,MS016,16.83384492,0.64,5
15.13372084,0.276920943,0.677340754,0.249445048,0.634366437,MS017,36.04818519,0.68,5
10.07606813,0.269919422,0.688213284,0.924952806,0.72986018,MS019,25.93287977,0.75,4
7.103560256,0.27637921,0.749425549,0.314869406,0.569890255,MS020,19.98786403,0.88,4
14.3832734,0.05892073,0.985619801,0.041081318,0.985580076,MS022,34.54729032,0.42,2
12.41593304,0.344932164,0.519389048,0.416734131,0.626797326,MS023,30.61260959,0.5,2
12.08452991,0.466261039,0.640426218,0.300377504,0.577147799,MS024,29.94980334,0.68,4
9.885804186,0.379501839,0.639899938,0.799989958,0.68239861,MS025,25.55235189,0.7,4
13.323492,0.234922196,0.544034774,0.308342192,0.757374413,MS026,32.42772753,0.57,2
5.307923521,0.623489227,0.638974358,0.63469816,0.956597053,MS027,16.39659056,0.83,5
9.266686113,0.254571392,0.877240821,0.664708749,0.852948401,MS028,24.31411574,0.63,4
17.21430691,0.218734723,0.635625995,0.39444436,0.884747404,MS030,40.20935735,0.44,3
9.419802516,0.591620733,0.590296699,0.558646288,0.661494655,MS033,24.62034855,0.63,3
7.630593216,0.251917731,0.961460996,0.365619813,0.678245517,MS035,21.04192995,0.7,5
14.97308222,0.152587749,0.567716139,0.547963189,0.675616615,MS036,35.72690796,0.6,2
