Block,alpha,target_feature,phi_color,phi_shape,a,r,cf_shape,cf_color,rpe,bandit_combo,displayed_stim,rep
1,0.686501914,circle,0.238433577,0.761566423,0,0,square,yellow,-0.1666667,11,"[2, 4, 6]",1
1,0.686501914,circle,0.238433577,0.761566423,1,1,circle,blue,0.8333333,10,"[2, 3, 7]",1
1,0.686501914,circle,0.238433577,0.761566423,0,1,circle,yellow,0.508038214,7,"[0, 5, 7]",1
1,0.686501914,circle,0.238433577,0.761566423,2,0,circle,orange,-0.700746814,3,"[1, 5, 6]",1
1,0.686501914,circle,0.238433577,0.761566423,1,1,circle,blue,0.545738992,8,"[1, 3, 8]",1
1,0.686501914,circle,0.238433577,0.761566423,2,1,circle,orange,0.388319822,17,"[2, 4, 6]",1
1,0.686501914,circle,0.238433577,0.761566423,0,1,circle,yellow,0.193034688,6,"[0, 4, 8]",1
1,0.686501914,circle,0.238433577,0.761566423,2,1,circle,orange,0.141692514,5,"[2, 4, 6]",1
1,0.686501914,circle,0.238433577,0.761566423,0,1,circle,yellow,0.052226034,12,"[0, 4, 8]",1
1,0.686501914,circle,0.238433577,0.761566423,1,1,circle,blue,-0.001533919,16,"[2, 3, 7]",1
1,0.686501914,circle,0.238433577,0.761566423,2,1,circle,orange,0.059562724,9,"[1, 5, 6]",1
1,0.686501914,circle,0.238433577,0.761566423,0,1,circle,yellow,0.006288719,1,"[0, 5, 7]",1
1,0.686501914,circle,0.238433577,0.761566423,0,1,circle,yellow,0.003539368,13,"[0, 5, 7]",1
1,0.686501914,circle,0.238433577,0.761566423,1,1,circle,blue,-0.028491934,2,"[1, 3, 8]",1
1,0.686501914,circle,0.238433577,0.761566423,1,1,circle,blue,-0.01603561,4,"[2, 3, 7]",1
1,0.686501914,circle,0.238433577,0.761566423,0,1,circle,yellow,0.019721074,0,"[0, 4, 8]",1
1,0.686501914,circle,0.238433577,0.761566423,2,1,circle,orange,0.039486419,15,"[1, 5, 6]",1
1,0.686501914,circle,0.238433577,0.761566423,1,0,circle,blue,-1.032599077,14,"[1, 3, 8]",1
2,0.686501914,yellow,0.761566423,0.238433577,2,1,circle,orange,0.8333333,9,"[1, 5, 6]",1
2,0.686501914,yellow,0.761566423,0.238433577,2,0,oval,orange,-0.498466458,13,"[0, 5, 7]",1
2,0.686501914,yellow,0.761566423,0.238433577,2,0,square,orange,-0.29999719,14,"[1, 3, 8]",1
2,0.686501914,yellow,0.761566423,0.238433577,2,0,square,orange,-0.168842093,6,"[0, 4, 8]",1
2,0.686501914,yellow,0.761566423,0.238433577,0,1,circle,yellow,0.800809947,0,"[0, 4, 8]",1
2,0.686501914,yellow,0.761566423,0.238433577,0,1,square,yellow,0.532780903,4,"[2, 3, 7]",1
